Internal Laboratory Code	Sample Name
MD-B-1-D	SRPed1_Daughter
MD-B-1-M	SRPed1_Mother
MD-B-7-D1	SRPed2_Daughter
MD-B-7-M	SRPed2_Mother
C16B-3-1	LineA_DiploidFemale_3
C16B-4-2	LineA_DiploidFemale_4
LineA_Work_W06	LineA_DiploidFemale_1
LineA_Work_W07	LineA_DiploidFemale_2
LineB_Work_W04	LineB_DiploidFemale_1
LineB_Work_W05	LineB_DiploidFemale_2
STC6L	LineB_DiploidFemale_3
LineA_Male_SM65	LineA_HaploidMale_1
LineA_Male_SM76	LineA_HaploidMale_2
LineA_Male_SM83	LineA_HaploidMale_3
LineA_Male_SM87	LineA_HaploidMale_4
LineB_Male_SM03	LineB_HaploidMale_1
LineB_Male_SM74	LineB_HaploidMale_2
LineB_Male_SM75	LineB_HaploidMale_3
C18	LineA_DiploidFemale_6
C1A-1	LineA_DiploidFemale_5
STC12_W	LineB_DiploidFemale_5
STC1_W	LineB_DiploidFemale_4
KL46	LineA_HaploidMale_5
KL66	LineA_HaploidMale_6
KL70	LineB_HaploidMale_4
SM56	LineB_HaploidMale_5
NOV_T501	LRPed2_Sister_1
NOV_T503	LRPed2_Sister_2
NOV_T504	LRPed1_Mother
NOV_T505	LRPed1_Daughter
NOV_T506	LRPed1_Daughter_TechnicalReplicateUsedAsNegativeControl
FEB_T505	LRPed3_Daughter_1
FEB_T506	LRPed3_Mother
FEB_T507	LRPed3_Daughter_2
FEB_T508	LRPed4_Mother
FEB_T509	LRPed4_Daughter_1
FEB_T510	LRPed4_Daughter_2
FEB_T511	LRPed5_Sister_1
FEB_T512	LRPed5_Sister_2
FEB_T513	LRPed6_Sister_1
FEB_T514	LRPed6_Sister_2
FEB_T515	LRPed7_Sister_1
FEB_T516	LRPed7_Sister_2
